ALL ITERATIONS.
======================================================================================================================================================
n    K    m    It   LRC  z              S                                                                                                   CPU (s)   
n    K    m    It   LRC  z              S                                                                                                   CPU (s)   
======================================================================================================================================================
15   2    2    10   2    11.859216      (0.58, 1.29) (8.65, 9.98)                                                                           0.004825  
15   2    2    10   3    11.859216      (0.58, 1.29) (8.65, 9.98)                                                                           0.003260  
15   2    2    20   2    11.859216      (0.58, 1.29) (8.65, 9.98)                                                                           0.002403  
15   2    2    20   3    11.859216      (0.58, 1.29) (8.65, 9.98)                                                                           0.002618  
15   2    3    10   2    27.372700      (0.58, 1.29) (9.11, 3.23) (8.65, 9.98)                                                              0.002551  
15   2    3    10   3    27.372700      (8.65, 9.98) (9.11, 3.23) (0.58, 1.29)                                                              0.002598  
15   2    3    20   2    27.372700      (8.65, 9.98) (0.58, 1.29) (9.11, 3.23)                                                              0.004717  
15   2    3    20   3    27.372700      (9.11, 3.23) (0.58, 1.29) (8.65, 9.98)                                                              0.005281  
15   2    4    10   2    49.826782      (8.65, 9.98) (0.58, 1.29) (0.16, 4.62) (9.11, 3.23)                                                 0.005862  
15   2    4    10   3    49.826782      (8.65, 9.98) (0.58, 1.29) (0.16, 4.62) (9.11, 3.23)                                                 0.006081  
15   2    4    20   2    49.826782      (8.65, 9.98) (0.58, 1.29) (0.16, 4.62) (9.11, 3.23)                                                 0.010605  
15   2    4    20   3    49.826782      (8.65, 9.98) (0.58, 1.29) (0.16, 4.62) (9.11, 3.23)                                                 0.010717  
15   2    5    10   2    79.129532      (0.58, 1.29) (9.96, 8.17) (8.65, 9.98) (9.11, 3.23) (0.16, 4.62)                                    0.008153  
15   2    5    10   3    79.129532      (0.58, 1.29) (9.96, 8.17) (9.11, 3.23) (0.16, 4.62) (8.65, 9.98)                                    0.009188  
15   2    5    20   2    79.129532      (8.65, 9.98) (0.58, 1.29) (9.11, 3.23) (0.16, 4.62) (9.96, 8.17)                                    0.014770  
15   2    5    20   3    79.129532      (9.96, 8.17) (0.58, 1.29) (0.16, 4.62) (9.11, 3.23) (8.65, 9.98)                                    0.015043  
------------------------------------------------------------------------------------------------------------------------------------------------------
20   2    2    10   2    8.510329       (0.63, 5.96) (8.67, 3.17)                                                                           0.001495  
20   2    2    10   3    8.510329       (8.67, 3.17) (0.63, 5.96)                                                                           0.001568  
20   2    2    20   2    8.510329       (0.63, 5.96) (8.67, 3.17)                                                                           0.002477  
20   2    2    20   3    8.510329       (0.63, 5.96) (8.67, 3.17)                                                                           0.002829  
20   2    3    10   2    21.996086      (0.63, 5.96) (8.57, 8.36) (8.67, 3.17)                                                              0.002985  
20   2    3    10   3    21.996086      (8.67, 3.17) (0.63, 5.96) (8.57, 8.36)                                                              0.002981  
